Reservation_ID,Odo_Start,Odo_End,Fuel_Level,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events,Damage_Flag
RES-00185,97124,97675km,0.4,21.433346,81.3239,61,3,0
RES-00186,88375,"89,686km",45%,21.13,76.7471,95,0,0
RES-00187,41099,41480,0.18,18.5922,76.019,94,6,1
RES-00188,"54,237km",54982,0.47,14.25,85.87,171 kmh,2,0
RES-00189,"79,149 km","80,098 km",77 %,15.184183,81.515405,172 kmh,6,0
RES-00190,42337km,44142,0.82,24.14,78.7,143 kmh,6,0
RES-00191,"81,126 km",80727,0.6,21.54,84.679726,69,5,1
RES-00192,108716km,108730,41%,14.17,78.491522,45,3,1
RES-00193,"89,835 km","90,827km",57%,25.39,73.5153,89,2,0
RES-00194,"44,993km","46,231km",87 %,24.06613,80.2275,56,1,0
RES-00195,64807,64921km,0.7,18.9263,77.7223,68,1,0
RES-00196,"53,652 km","55,456 km",11%,23.96,72.2,60,2,1
RES-00197,17992km,"18,483 km",0.8,24.0598,75.53,160 kmh,5,0
RES-00198,"92,635 km","93,239 km",0.24,25.5537,76.569101,75,3,0
RES-00199,98279km,99954km,0.49,12.6061,73.0565,131 kmh,6,0
RES-00200,16266km,17280,0.8,22.2,79.7599,88,2,0
RES-00201,29149km,"29,819 km",0.79,27.674869,76.09,92,2,1
RES-00202,"20,121 km","21,226 km",0.7,18.0836,87.628686,149 kmh,2,0
RES-00203,"49,371 km",51315,0.8,27.0068,82.398,50,1,0
RES-00204,45344,45619km,0.89,26.93,72.78247,145 kmh,6,0
RES-00205,12384,"14,373 km",100%,24.908613,72.244882,95,0,0
RES-00206,93742,94833,0.56,24.13,73.435753,128 kmh,4,1
RES-00207,27106km,"28,086km",97 %,21.1156,72.750257,86,3,1
RES-00208,"46,152 km",46949,50 %,13.75077,87.073734,140 kmh,2,1
RES-00209,36480km,36552km,40 %,22.28,80.27156,162 kmh,1,0
RES-00210,37827,"39,435 km",0.2,24.0836,76.54,172 kmh,4,0
RES-00211,"40,015km","40,123km",52 %,19.81267,83.76,48,2,0
RES-00212,"82,363km",82628km,0.58,27.904925,73.75,173 kmh,6,1
RES-00213,44244,"45,108km",0.49,21.722408,77.7753,43,3,0
RES-00214,"106,098 km","107,917km",30%,18.843671,87.04,95,2,1
RES-00215,"117,870km","119,279 km",62%,14.041211,74.6795,158 kmh,3,1
RES-00216,"90,874 km",90659,0.8,25.385629,77.6,50,1,0
RES-00217,81032,"82,956km",0.3,23.5504,78.297862,51,2,0
RES-00218,55895,56549km,94%,26.54,86.19,73,1,0
RES-00219,74904km,74461,79 %,23.62,77.476767,66,6,1
RES-00220,81011km,"82,220 km",0.5,27.30368,74.54,142 kmh,6,0
RES-00221,"40,366km",41434,75%,22.997833,82.679645,134 kmh,0,0
RES-00222,111640km,111740,62 %,18.4959,83.72,173 kmh,5,0
RES-00223,"81,703km","81,278km",98%,23.552,83.45,150 kmh,6,0
RES-00224,"60,867km","62,385 km",94%,14.6935,81.4,51,3,0
RES-00225,"24,142km",25349km,0.4,18.6621,79.84,68,6,0
RES-00226,"74,261km",74422km,8 %,27.476055,86.0027,172 kmh,2,0
RES-00227,"44,804 km","45,031km",0.1,22.875997,72.5946,77,6,0
RES-00228,21041km,"22,726 km",41%,20.57,87.5761,80,5,0
RES-00229,106766km,"107,740km",41 %,26.6917,73.78,60,1,0
RES-00230,32960,33099,20%,22.26,76.3021,42,5,0
RES-00231,"38,107 km",39072,0.3,21.9214,73.04,91,1,1
RES-00232,33935km,"34,494km",15%,20.5909,80.44,97,4,0
RES-00233,59919km,60630,0.29,18.802683,77.9312,87,5,0
RES-00234,102104km,103418,41 %,18.037966,87.86,100,5,0
RES-00235,16968km,"18,336 km",43 %,26.98,84.4956,132 kmh,4,0
RES-00236,5784km,7553,0.95,13.46,83.387051,69,3,0
RES-00237,"82,117 km",82541,84 %,21.76,72.71,51,6,1
RES-00238,"58,152 km","58,212 km",0.86,15.56,85.112017,160 kmh,2,1
RES-00239,109407,109677km,32 %,22.2,81.0543,98,6,0
RES-00240,"37,436km","38,421 km",0.44,13.77,78.59,80,3,1
RES-00241,58843,"59,457km",0.3,14.419042,82.108437,180 kmh,5,0
RES-00242,"97,655km",97953km,0.3,21.288747,75.62,87,6,0
RES-00243,62112km,63239km,0.58,17.7049,74.2519,139 kmh,3,0
RES-00244,89558km,90959km,0.12,17.21,87.73,53,1,0
RES-00245,"73,966 km",75344km,1.0,24.86,82.6018,180 kmh,6,0
RES-00246,75251,76570km,59%,18.174969,72.969705,129 kmh,0,0
RES-00247,"47,890km",47391,0.75,21.922456,75.91,89,3,1
RES-00248,13801,14252km,0.85,24.135448,80.306,151 kmh,3,0
RES-00249,"55,971km","55,784km",0.05,19.174,77.279099,48,3,0
RES-00250,"15,102km",15606,41 %,12.9312,75.085904,122 kmh,3,1
RES-00251,40653km,"41,898km",0.88,16.49143,87.0736,94,0,1
RES-00252,6317km,"6,691 km",0.79,17.1315,86.644456,64,0,0
RES-00253,"93,012km","94,656 km",0.3,26.0,75.0858,177 kmh,4,0
RES-00254,"19,080km","20,922 km",59 %,20.7,74.694276,53,3,1
RES-00255,29870km,29655km,39 %,18.2201,74.3418,53,4,1
RES-00256,"77,896 km","79,090 km",30%,23.9067,72.25,138 kmh,6,0
RES-00257,6613,8484km,43%,23.5719,75.74,160 kmh,3,0
RES-00258,"83,860 km","84,998 km",0.9,15.23184,86.071664,121 kmh,2,0
RES-00259,"107,216km","107,462km",27 %,25.614268,74.4692,92,0,0
RES-00260,"36,832 km","37,629km",97 %,18.13,81.206671,41,3,0
RES-00261,"77,870km",79367,0.4,22.354076,79.4302,95,3,0
RES-00262,10664km,11605,16 %,22.38,85.1272,150 kmh,2,0
RES-00263,108375km,109253km,0.2,17.870762,74.7408,159 kmh,6,0
RES-00264,73843,"74,909 km",0.46,14.636301,85.440885,151 kmh,5,0
RES-00265,"115,617km","116,701km",77%,13.8211,86.116047,84,4,1
RES-00266,"25,122km",25278km,24%,27.5026,86.3227,94,5,0
RES-00267,"116,285 km","117,211 km",0.76,22.02854,85.83,141 kmh,4,0
RES-00268,46399km,48092,26 %,15.5963,84.39,147 kmh,0,0
RES-00269,49358,49882km,6%,27.7563,79.3897,162 kmh,5,1
RES-00270,"111,321km","111,504 km",0.9,14.419605,78.0826,148 kmh,2,0
RES-00271,83888,84324,72 %,24.8161,79.6376,133 kmh,2,0
RES-00272,72779km,74613km,30%,25.54,84.6939,152 kmh,1,0
RES-00273,"92,689km",93676km,94 %,14.138654,81.954,135 kmh,6,0
RES-00274,33771,"35,638km",0.90,22.503285,76.0722,143 kmh,0,1
RES-00275,"39,353 km",41044km,0.89,17.316579,75.868,178 kmh,2,1
RES-00276,109010km,110792km,40%,22.848921,74.974663,155 kmh,0,0
RES-00277,65470,67238,0.2,23.229388,81.028237,78,3,0
RES-00278,"82,383 km","83,780 km",0.10,27.2978,87.598353,71,0,0
RES-00279,"10,989 km",11511km,53%,23.121774,72.267428,80,3,0
RES-00280,"119,145km",120319km,8 %,22.3021,84.0808,69,0,0
RES-00281,"80,847km",81727km,52 %,20.7419,77.247788,134 kmh,1,0
RES-00282,20215km,21521,0.05,26.8929,85.1,80,2,0
RES-00283,59014,60180km,14 %,15.669856,80.875,70,1,1
RES-00284,"87,633km",89136,50%,13.394616,86.3,153 kmh,6,0
RES-00285,"36,746km",37863,0.55,27.07,81.85,40,4,0
RES-00286,"76,654 km",76847,33%,19.72,76.93,163 kmh,0,0
RES-00287,"25,752 km","26,770km",24 %,16.5723,87.7813,139 kmh,2,0
RES-00288,31809km,32745km,25 %,13.28,81.867141,151 kmh,6,0
RES-00289,101171,102476,0.3,23.400079,80.86,161 kmh,3,0
RES-00290,"21,616 km",23083,68%,22.609804,73.61,150 kmh,0,0
RES-00291,"67,682 km",67812,0.4,25.900952,73.740828,44,4,0
RES-00292,"93,764km","95,148 km",0.81,12.071002,77.21,130 kmh,5,0
RES-00293,104064,"104,495 km",0.4,23.9975,81.3368,139 kmh,2,0
RES-00294,"119,510km","119,537 km",0.9,22.3492,86.46,162 kmh,6,0
RES-00295,"101,302km",102375,47 %,17.516796,73.594293,122 kmh,4,0
RES-00296,"54,648km",55374,98 %,23.8661,78.905883,164 kmh,2,0
RES-00297,112591,114380,0.38,16.53,77.75,120 kmh,5,0
RES-00298,36922km,37420km,0.5,24.6,73.7458,63,6,0
RES-00299,31748,"32,375km",78%,23.08,85.377578,71,2,0
RES-00300,"25,977 km",26263km,28 %,12.4034,78.574962,75,3,0
RES-00301,"118,850 km","120,715km",56%,18.34,72.77,41,3,0
RES-00302,15465,16847km,0.7,12.2,87.120392,60,1,0
RES-00303,"89,045 km",89248,0.6,17.2174,80.4718,130 kmh,3,0
RES-00304,34009km,34152km,0.80,16.355304,84.427343,61,2,0
RES-00305,"16,787 km",17590km,85 %,16.4524,81.6209,52,5,1
RES-00306,"57,751km","58,965km",0.5,15.9918,77.897394,163 kmh,3,0
RES-00307,"17,302km","19,211km",35%,22.31,81.755806,46,5,0
RES-00308,55258,"56,789km",0.64,18.9348,79.5514,94,4,0
RES-00309,"59,004km",60408km,64%,27.779494,86.125104,62,3,0
RES-00310,"24,977 km",24943km,0.12,19.33,87.42364,166 kmh,4,0
RES-00311,"119,915 km","119,927km",0.7,12.031,83.46206,176 kmh,4,0
RES-00312,92289km,"93,107km",28 %,18.910893,73.907701,52,0,0
RES-00313,"73,153km","73,796 km",18 %,14.376536,75.54,47,2,1
RES-00314,"103,077 km",103448,9%,23.216892,87.06,141 kmh,6,0
RES-00315,"73,462km","75,034km",0.12,25.7378,73.32,166 kmh,5,0
RES-00316,"60,154 km",61117km,0.8,19.534377,81.575054,49,4,0
RES-00317,"110,302 km","111,596km",0.5,18.199224,78.9836,162 kmh,4,0
RES-00318,"59,120 km","59,433 km",54 %,27.655575,83.27,64,2,0
RES-00319,83811,"85,688 km",35%,21.45,80.389515,150 kmh,3,0
RES-00320,47354km,"49,076km",0.60,24.68,86.494257,77,2,0
RES-00321,"27,607 km","28,789 km",0.1,22.3783,82.72,88,5,1
RES-00322,98726km,"99,920 km",0.88,19.8889,84.64,95,3,0
RES-00323,"71,572km",73060,0.71,12.996983,86.1877,80,1,0
RES-00324,"85,098km","85,124 km",0.17,17.17,75.9725,69,4,0
RES-00325,"20,946km","22,469km",1.0,13.656288,80.637216,174 kmh,5,0
RES-00326,14900,15676,99 %,12.5981,81.9887,60,0,0
RES-00327,"61,585km","62,243km",0.70,27.7507,80.18,149 kmh,2,0
RES-00328,"43,634km","45,224 km",76 %,12.1024,85.8308,174 kmh,3,0
RES-00329,"106,204 km",107379km,0.14,17.8253,85.2178,63,2,0
RES-00330,"23,877km",25613,0.55,22.798699,86.533078,137 kmh,1,0
RES-00331,112584,"113,366km",39%,24.93,79.711807,161 kmh,0,0
RES-00332,29059km,"29,698 km",38 %,23.364337,79.88203,58,5,0
RES-00333,"78,967 km","80,236 km",13%,15.500851,73.330384,44,3,0
RES-00334,"76,384 km","77,027 km",0.8,21.8054,86.32,42,3,0
RES-00335,80953,"82,619 km",0.17,22.084948,83.7821,122 kmh,5,1
RES-00336,13548km,13828,0.3,12.95,80.96,166 kmh,6,1
RES-00337,26935km,"27,441km",0.76,21.419,72.717873,44,3,0
RES-00338,"15,093 km",16601km,0.40,14.57,75.19887,95,0,0
RES-00339,"43,214km","43,590km",0.65,16.299188,82.081675,167 kmh,2,0
RES-00340,84257,"84,195 km",38%,27.99,76.0603,137 kmh,6,0
RES-00341,5877km,"6,821 km",0.9,25.3511,86.3495,129 kmh,3,0
RES-00342,"22,779 km",22843km,0.1,18.786013,86.22,168 kmh,5,0
RES-00343,"41,544km","42,147km",0.12,19.4108,84.2636,46,4,0
RES-00344,"39,475km","40,979km",0.5,26.4811,73.91,136 kmh,3,0
RES-00345,53356,"53,696km",32%,15.7497,74.0246,163 kmh,5,1
RES-00346,"70,046km",71983,0.5,18.540804,75.41,146 kmh,0,0
RES-00347,"13,383km",15325,0.46,17.546409,75.302409,79,2,0
RES-00348,109460km,"111,422km",32 %,14.9548,78.3792,79,3,0
RES-00349,55930,56921km,0.4,15.98,80.075251,56,6,0
RES-00350,104517,106384,0.67,18.84,73.42,87,4,0
RES-00351,26996km,"28,985 km",0.3,12.3652,81.9516,83,2,1
RES-00352,24400,"26,139 km",27%,26.787962,77.88,95,4,0
RES-00353,33610km,"35,360 km",80%,24.103695,82.1728,137 kmh,2,0
RES-00354,23935,"24,313km",38 %,19.6771,81.0791,77,0,1
RES-00355,"48,991km",50585km,0.7,26.41,79.33,152 kmh,1,0
RES-00356,"26,100km","27,060 km",11%,20.6537,74.7101,63,6,0
RES-00357,109222km,"109,980km",0.5,21.943025,86.0051,74,1,0
RES-00358,"27,042km","27,854km",60%,24.8454,78.01,68,3,0
RES-00359,"115,919 km",116069km,89%,25.22843,86.807298,128 kmh,6,0
RES-00360,"64,436 km","66,139 km",1.0,15.031001,79.963145,96,1,1
RES-00361,"91,442 km","91,936 km",82 %,18.39,81.938126,43,2,0
RES-00362,110775km,"112,604km",0.4,16.376696,74.5837,80,4,1
RES-00363,"48,500 km","49,439 km",79%,14.69,80.53,140 kmh,5,1
RES-00364,"107,298km",107603km,74%,27.25,84.1605,129 kmh,4,1
RES-00365,"33,756km","35,408km",34 %,18.107573,79.6965,122 kmh,4,0
RES-00366,41838,"42,704km",40 %,25.26,76.787102,158 kmh,2,1
RES-00367,50154,51583,24%,14.9049,79.25,46,3,0
RES-00368,"75,433 km",76819km,30 %,21.1197,85.4912,61,4,0
RES-00369,78748,80104,85%,20.9772,83.32,71,4,0
RES-00370,97355km,98762,55 %,24.84,73.5084,136 kmh,4,0
RES-00371,"118,106km",119522km,0.94,21.49,82.9298,149 kmh,1,0
RES-00372,"31,138 km","32,463 km",77%,24.6439,73.955,177 kmh,1,1
RES-00373,24622km,"26,296km",0.5,17.089965,80.0772,59,1,0
RES-00374,23191km,"24,739km",0.6,17.513534,85.474757,165 kmh,1,0
RES-00375,55840,"57,752 km",61%,26.7525,80.08,165 kmh,3,0
RES-00376,90438,"91,766km",0.97,13.45,77.558054,44,1,0
